sku;urun;alan;birim;bizim_deger;bizim_kaynak;uretici_deger;fark;fark_yuzde;kaynak_belge;kaynak_sayfa;kaynak_turu;alinti;hukum;not
AVE-NS501490;NIMUS 501 T4 1,5kW;debi (kaynakta tanımsız: Air flow);m³/h;9420;AVenS fiyat listesi 2026 s.47: NS501490 | NIMUS 501 T4 1,5kW | 9420 m³/h;9420;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS501490 NIMUS 501 T4 1,5kW 1440 5,67 3,26 1,50 9.420 57 87,37 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS501490;NIMUS 501 T4 1,5kW;devir;d/dk;1440;canlı teknik veri;1440;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS501490 NIMUS 501 T4 1,5kW 1440 5,67 3,26 1,50 9.420 57 87,37 1;aynı;
AVE-NS501490;NIMUS 501 T4 1,5kW;motor gücü;kW;1.5;ürün adı (canlı);1.5;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS501490 NIMUS 501 T4 1,5kW 1440 5,67 3,26 1,50 9.420 57 87,37 1;aynı;
AVE-NS501490;NIMUS 501 T4 1,5kW;üretici kodu;;NS501490;AVenS fiyat listesi 2026 s.47;NS501490;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS501490 NIMUS 501 T4 1,5kW 1440 5,67 3,26 1,50 9.420 57 87,37 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS5624100;NIMUS 561 T4 2,2kW;debi (kaynakta tanımsız: Air flow);m³/h;13250;AVenS fiyat listesi 2026 s.47: NS5624100 | NIMUS 561 T4 2,2kW | 13250 m³/h;13240;-10;-0.1;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS5614100 NIMUS 561 T4 2,2kW 1435 8,07 4,64 2,20 13.240 61 121,40 1;belirsiz;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS5624100;NIMUS 561 T4 2,2kW;devir;d/dk;1435;canlı teknik veri;1435;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS5614100 NIMUS 561 T4 2,2kW 1435 8,07 4,64 2,20 13.240 61 121,40 1;aynı;
AVE-NS5624100;NIMUS 561 T4 2,2kW;motor gücü;kW;2.2;ürün adı (canlı);2.2;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS5614100 NIMUS 561 T4 2,2kW 1435 8,07 4,64 2,20 13.240 61 121,40 1;aynı;
AVE-NS5624100;NIMUS 561 T4 2,2kW;üretici kodu;;NS5624100;AVenS fiyat listesi 2026 s.47;NS5614100;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS5614100 NIMUS 561 T4 2,2kW 1435 8,07 4,64 2,20 13.240 61 121,40 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS6314112;NIMUS 631 T4 4kW;debi (kaynakta tanımsız: Air flow);m³/h;18850;AVenS fiyat listesi 2026 s.47: NS6314112 | NIMUS 631 T4 4kW | 18850 m³/h;18850;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS6314112 NIMUS 631 T4 4kW 1440 14,5 8,32 4 18.850 65 150,22 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS6314112;NIMUS 631 T4 4kW;devir;d/dk;1440;canlı teknik veri;1440;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS6314112 NIMUS 631 T4 4kW 1440 14,5 8,32 4 18.850 65 150,22 1;aynı;
AVE-NS6314112;NIMUS 631 T4 4kW;motor gücü;kW;4;ürün adı (canlı);4;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS6314112 NIMUS 631 T4 4kW 1440 14,5 8,32 4 18.850 65 150,22 1;aynı;
AVE-NS6314112;NIMUS 631 T4 4kW;üretici kodu;;NS6314112;AVenS fiyat listesi 2026 s.47;NS6314112;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS6314112 NIMUS 631 T4 4kW 1440 14,5 8,32 4 18.850 65 150,22 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS7114132;NIMUS 711 T4 7,5kW;debi (kaynakta tanımsız: Air flow);m³/h;26980;AVenS fiyat listesi 2026 s.47: NS7114132 | NIMUS 711 T4 7,5kW | 26980 m³/h;26980;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS7114132 NIMUS 711 T4 7,5kW 1455 - 14,1 7,50 26.980 68 202,22 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS7114132;NIMUS 711 T4 7,5kW;devir;d/dk;1455;canlı teknik veri;1455;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS7114132 NIMUS 711 T4 7,5kW 1455 - 14,1 7,50 26.980 68 202,22 1;aynı;
AVE-NS7114132;NIMUS 711 T4 7,5kW;motor gücü;kW;7.5;ürün adı (canlı);7.5;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS7114132 NIMUS 711 T4 7,5kW 1455 - 14,1 7,50 26.980 68 202,22 1;aynı;
AVE-NS7114132;NIMUS 711 T4 7,5kW;üretici kodu;;NS7114132;AVenS fiyat listesi 2026 s.47;NS7114132;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS7114132 NIMUS 711 T4 7,5kW 1455 - 14,1 7,50 26.980 68 202,22 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS8014160;NIMUS 801 T4 15kW;debi (kaynakta tanımsız: Air flow);m³/h;38600;AVenS fiyat listesi 2026 s.47: NS8014160 | NIMUS 801 T4 15kW | 38600 m³/h;38600;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS8014160 NIMUS 801 T4 15kW 1465 - 29,8 15 38.600 72 266,35 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS8014160;NIMUS 801 T4 15kW;devir;d/dk;1465;canlı teknik veri;1465;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS8014160 NIMUS 801 T4 15kW 1465 - 29,8 15 38.600 72 266,35 1;aynı;
AVE-NS8014160;NIMUS 801 T4 15kW;motor gücü;kW;15;ürün adı (canlı);15;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS8014160 NIMUS 801 T4 15kW 1465 - 29,8 15 38.600 72 266,35 1;aynı;
AVE-NS8014160;NIMUS 801 T4 15kW;üretici kodu;;NS8014160;AVenS fiyat listesi 2026 s.47;NS8014160;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS8014160 NIMUS 801 T4 15kW 1465 - 29,8 15 38.600 72 266,35 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NS9014200;NIMUS 901 T4 30kW;debi (kaynakta tanımsız: Air flow);m³/h;54960;AVenS fiyat listesi 2026 s.47: NS9014200 | NIMUS 901 T4 30kW | 54960 m³/h;54960;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS9014200 NIMUS 901 T4 30kW 1475 - 56,3 30 54.960 75 369,35 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NS9014200;NIMUS 901 T4 30kW;devir;d/dk;1475;canlı teknik veri;1475;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS9014200 NIMUS 901 T4 30kW 1475 - 56,3 30 54.960 75 369,35 1;aynı;
AVE-NS9014200;NIMUS 901 T4 30kW;motor gücü;kW;30;ürün adı (canlı);30;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS9014200 NIMUS 901 T4 30kW 1475 - 56,3 30 54.960 75 369,35 1;aynı;
AVE-NS9014200;NIMUS 901 T4 30kW;üretici kodu;;NS9014200;AVenS fiyat listesi 2026 s.47;NS9014200;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__192.txt;flipbook 192;üretici;NS9014200 NIMUS 901 T4 30kW 1475 - 56,3 30 54.960 75 369,35 1;aynı;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX10034250;NIMAX 1004 T4 55kW;debi (kaynakta tanımsız: Air flow);m³/h;88010;AVenS fiyat listesi 2026 s.48: NX10034250 | NIMAX 1004 T4 55kW | 88010 m³/h;88010;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX10044250 NIMAX 1004 T4 55kW 1475 - 97,1 55 88.010 80 464,82 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX10034250;NIMAX 1004 T4 55kW;devir;d/dk;1475;canlı teknik veri;1475;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX10044250 NIMAX 1004 T4 55kW 1475 - 97,1 55 88.010 80 464,82 1;aynı;
AVE-NX10034250;NIMAX 1004 T4 55kW;motor gücü;kW;55;ürün adı (canlı);55;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX10044250 NIMAX 1004 T4 55kW 1475 - 97,1 55 88.010 80 464,82 1;aynı;
AVE-NX10034250;NIMAX 1004 T4 55kW;üretici kodu;;NX10034250;AVenS fiyat listesi 2026 s.48;NX10044250;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX10044250 NIMAX 1004 T4 55kW 1475 - 97,1 55 88.010 80 464,82 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX313290;NIMAX 314 T2 1,5kW;debi (kaynakta tanımsız: Air flow);m³/h;5240;AVenS fiyat listesi 2026 s.48: NX313290 | NIMAX 314 T2 1,5kW | 5240 m³/h;5500;260;5;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX314290 NIMAX 314 T2 1,5kW 2865 5,83 3,14 1,50 5.500 60 36,89 1;belirsiz;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX313290;NIMAX 314 T2 1,5kW;devir;d/dk;2865;canlı teknik veri;2865;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX314290 NIMAX 314 T2 1,5kW 2865 5,83 3,14 1,50 5.500 60 36,89 1;aynı;
AVE-NX313290;NIMAX 314 T2 1,5kW;motor gücü;kW;1.5;ürün adı (canlı);1.5;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX314290 NIMAX 314 T2 1,5kW 2865 5,83 3,14 1,50 5.500 60 36,89 1;aynı;
AVE-NX313290;NIMAX 314 T2 1,5kW;üretici kodu;;NX313290;AVenS fiyat listesi 2026 s.48;NX314290;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX314290 NIMAX 314 T2 1,5kW 2865 5,83 3,14 1,50 5.500 60 36,89 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX353290;NIMAX 354 T2 3kW;debi (kaynakta tanımsız: Air flow);m³/h;7880;AVenS fiyat listesi 2026 s.48: NX353290 | NIMAX 354 T2 3kW | 7880 m³/h;7870;-10;-0.1;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX3542100 NIMAX 354 T2 3kW 2880 10,3 5,92 3 7.870 64 50,47 1;belirsiz;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX353290;NIMAX 354 T2 3kW;devir;d/dk;2880;canlı teknik veri;2880;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX3542100 NIMAX 354 T2 3kW 2880 10,3 5,92 3 7.870 64 50,47 1;aynı;
AVE-NX353290;NIMAX 354 T2 3kW;motor gücü;kW;3;ürün adı (canlı);3;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX3542100 NIMAX 354 T2 3kW 2880 10,3 5,92 3 7.870 64 50,47 1;aynı;
AVE-NX353290;NIMAX 354 T2 3kW;üretici kodu;;NX353290;AVenS fiyat listesi 2026 s.48;NX3542100;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX3542100 NIMAX 354 T2 3kW 2880 10,3 5,92 3 7.870 64 50,47 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX353471;NIMAX 354 T4 0,37kW;debi (kaynakta tanımsız: Air flow);m³/h;3940;AVenS fiyat listesi 2026 s.48: NX353471 | NIMAX 354 T4 0,37kW | 3940 m³/h;3940;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX354471 NIMAX 354 T4 0,37kW 1400 1,86 1,07 0,37 3.940 49 45,26 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX353471;NIMAX 354 T4 0,37kW;devir;d/dk;1400;canlı teknik veri;1400;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX354471 NIMAX 354 T4 0,37kW 1400 1,86 1,07 0,37 3.940 49 45,26 1;aynı;
AVE-NX353471;NIMAX 354 T4 0,37kW;motor gücü;kW;0.37;ürün adı (canlı);0.37;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX354471 NIMAX 354 T4 0,37kW 1400 1,86 1,07 0,37 3.940 49 45,26 1;aynı;
AVE-NX353471;NIMAX 354 T4 0,37kW;üretici kodu;;NX353471;AVenS fiyat listesi 2026 s.48;NX354471;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX354471 NIMAX 354 T4 0,37kW 1400 1,86 1,07 0,37 3.940 49 45,26 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX4032112;NIMAX 404 T2 5,5kW;debi (kaynakta tanımsız: Air flow);m³/h;11270;AVenS fiyat listesi 2026 s.48: NX4032112 | NIMAX 404 T2 5,5kW | 11270 m³/h;11260;-10;-0.1;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX4042132 NIMAX 404 T2 5,5kW 2910 - 10,6 5,50 11.260 67 75,16 1;belirsiz;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX4032112;NIMAX 404 T2 5,5kW;devir;d/dk;2910;canlı teknik veri;2910;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX4042132 NIMAX 404 T2 5,5kW 2910 - 10,6 5,50 11.260 67 75,16 1;aynı;
AVE-NX4032112;NIMAX 404 T2 5,5kW;motor gücü;kW;5.5;ürün adı (canlı);5.5;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX4042132 NIMAX 404 T2 5,5kW 2910 - 10,6 5,50 11.260 67 75,16 1;aynı;
AVE-NX4032112;NIMAX 404 T2 5,5kW;üretici kodu;;NX4032112;AVenS fiyat listesi 2026 s.48;NX4042132;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX4042132 NIMAX 404 T2 5,5kW 2910 - 10,6 5,50 11.260 67 75,16 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX403480;NIMAX 404 T4 0,55kW;debi (kaynakta tanımsız: Air flow);m³/h;5640;AVenS fiyat listesi 2026 s.48: NX403480 | NIMAX 404 T4 0,55kW | 5640 m³/h;5630;-10;-0.2;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX404480 NIMAX 404 T4 0,55kW 1400 2,57 1,49 0,55 5.630 52 57,89 1;belirsiz;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX403480;NIMAX 404 T4 0,55kW;devir;d/dk;1400;canlı teknik veri;1400;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX404480 NIMAX 404 T4 0,55kW 1400 2,57 1,49 0,55 5.630 52 57,89 1;aynı;
AVE-NX403480;NIMAX 404 T4 0,55kW;motor gücü;kW;0.55;ürün adı (canlı);0.55;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX404480 NIMAX 404 T4 0,55kW 1400 2,57 1,49 0,55 5.630 52 57,89 1;aynı;
AVE-NX403480;NIMAX 404 T4 0,55kW;üretici kodu;;NX403480;AVenS fiyat listesi 2026 s.48;NX404480;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX404480 NIMAX 404 T4 0,55kW 1400 2,57 1,49 0,55 5.630 52 57,89 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX4532132;NIMAX 454 T2 11kW;debi (kaynakta tanımsız: Air flow);m³/h;16040;AVenS fiyat listesi 2026 s.48: NX4532132 | NIMAX 454 T2 11kW | 16040 m³/h;16040;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX4542160 NIMAX 454 T2 11kW 2940 - 20,8 11 16.040 71 90,43 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX4532132;NIMAX 454 T2 11kW;devir;d/dk;2940;canlı teknik veri;2940;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX4542160 NIMAX 454 T2 11kW 2940 - 20,8 11 16.040 71 90,43 1;aynı;
AVE-NX4532132;NIMAX 454 T2 11kW;motor gücü;kW;11;ürün adı (canlı);11;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX4542160 NIMAX 454 T2 11kW 2940 - 20,8 11 16.040 71 90,43 1;aynı;
AVE-NX4532132;NIMAX 454 T2 11kW;üretici kodu;;NX4532132;AVenS fiyat listesi 2026 s.48;NX4542160;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX4542160 NIMAX 454 T2 11kW 2940 - 20,8 11 16.040 71 90,43 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX453490;NIMAX 454 T4 1,1kW;debi (kaynakta tanımsız: Air flow);m³/h;8020;AVenS fiyat listesi 2026 s.48: NX453490 | NIMAX 454 T4 1,1kW | 8020 m³/h;8020;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX454490 NIMAX 454 T4 1,1kW 1450 4,33 2,49 1,10 8.020 56 72,87 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX453490;NIMAX 454 T4 1,1kW;devir;d/dk;1450;canlı teknik veri;1450;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX454490 NIMAX 454 T4 1,1kW 1450 4,33 2,49 1,10 8.020 56 72,87 1;aynı;
AVE-NX453490;NIMAX 454 T4 1,1kW;motor gücü;kW;1.1;ürün adı (canlı);1.1;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX454490 NIMAX 454 T4 1,1kW 1450 4,33 2,49 1,10 8.020 56 72,87 1;aynı;
AVE-NX453490;NIMAX 454 T4 1,1kW;üretici kodu;;NX453490;AVenS fiyat listesi 2026 s.48;NX454490;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX454490 NIMAX 454 T4 1,1kW 1450 4,33 2,49 1,10 8.020 56 72,87 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX5032160;NIMAX 504 T2 15kW;debi (kaynakta tanımsız: Air flow);m³/h;22010;AVenS fiyat listesi 2026 s.48: NX5032160 | NIMAX 504 T2 15kW | 22010 m³/h;22000;-10;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5042160 NIMAX 504 T2 15kW 2935 - 27,4 15 22.000 74 116,85 1;belirsiz;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX5032160;NIMAX 504 T2 15kW;devir;d/dk;2935;canlı teknik veri;2935;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5042160 NIMAX 504 T2 15kW 2935 - 27,4 15 22.000 74 116,85 1;aynı;
AVE-NX5032160;NIMAX 504 T2 15kW;motor gücü;kW;15;ürün adı (canlı);15;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5042160 NIMAX 504 T2 15kW 2935 - 27,4 15 22.000 74 116,85 1;aynı;
AVE-NX5032160;NIMAX 504 T2 15kW;üretici kodu;;NX5032160;AVenS fiyat listesi 2026 s.48;NX5042160;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5042160 NIMAX 504 T2 15kW 2935 - 27,4 15 22.000 74 116,85 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX503490;NIMAX 504 T4 2,2kW;debi (kaynakta tanımsız: Air flow);m³/h;11010;AVenS fiyat listesi 2026 s.48: NX503490 | NIMAX 504 T4 2,2kW | 11010 m³/h;11000;-10;-0.1;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5044100 NIMAX 504 T4 2,2kW 1435 8,07 4,64 2,20 11.000 59 97,23 1;belirsiz;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
AVE-NX503490;NIMAX 504 T4 2,2kW;devir;d/dk;1435;canlı teknik veri;1435;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5044100 NIMAX 504 T4 2,2kW 1435 8,07 4,64 2,20 11.000 59 97,23 1;aynı;
AVE-NX503490;NIMAX 504 T4 2,2kW;motor gücü;kW;2.2;ürün adı (canlı);2.2;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5044100 NIMAX 504 T4 2,2kW 1435 8,07 4,64 2,20 11.000 59 97,23 1;aynı;
AVE-NX503490;NIMAX 504 T4 2,2kW;üretici kodu;;NX503490;AVenS fiyat listesi 2026 s.48;NX5044100;;;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5044100 NIMAX 504 T4 2,2kW 1435 8,07 4,64 2,20 11.000 59 97,23 1;belirsiz;kod farkı: sürüm farkı mı yazım hatası mı — AVenS'e sorulur
AVE-NX5634100;NIMAX 564 T4 3kW;debi (kaynakta tanımsız: Air flow);m³/h;15460;AVenS fiyat listesi 2026 s.48: NX5634100 | NIMAX 564 T4 3kW | 15460 m³/h;15460;0;0;venthub/markalar/avens/santrifuj-nimus-nimax/01-input/www.casals.com__Casals_catalogue__flipbook__200.txt;flipbook 200;üretici;NX5644100 NIMAX 564 T4 3kW 1420 10,7 6,17 3 15.460 63 126,18 1;aynı;"kaynak ""Air flow"" diyor: en yüksek debi mi çalışma noktası mı belirtilmemiş — AVenS'e sorulur"
